Rank,Country or Entity,Billionaires 2025,Wealth 2025 (USD)
1,🇺🇸 United States,924,6.9T
2,🇨🇳 China,470,1.8T
3,🇮🇳 India,188,888B
4,🇩🇪 Germany,156,692B
5,🇬🇧 United Kingdom,91,456B
6,🇨🇭 Switzerland,84,518B
7,🇭🇰 Hong Kong SAR,76,328B
8,🇮🇹 Italy,61,197B
9,🇸🇬 Singapore,55,259B
10,🇹🇼 Taiwan,51,164B
11,🇧🇷 Brazil,47,126B
12,🇨🇦 Canada,47,211B
13,🇫🇷 France,46,509B
14,🇦🇺 Australia,43,213B
15,🇯🇵 Japan,41,179B
16,🇮🇱 Israel,36,108B
17,🇪🇸 Spain,32,213B
18,🇰🇷 South Korea,31,88B
19,🇸🇪 Sweden,31,132B
20,🇮🇩 Indonesia,27,156B
21,🇹🇭 Thailand,25,94B
22,🇲🇽 Mexico,22,167B
23,🇸🇦 Saudi Arabia,19,81B
24,🇦🇪 UAE,19,169B
25,🇵🇭 Philippines,15,54B
26,🇲🇾 Malaysia,14,41B
27,🇳🇴 Norway,11,30B
28,🇦🇹 Austria,8,77B
29,🇩🇰 Denmark,8,50B
30,🇳🇱 Netherlands,8,16B
